datetime	ticker	num_mentioned	polarity	subjectivity
2021-06-03	BB	1460.0	0.010464668599406802	0.12452916382513984
2021-06-02	BB	1309.0	0.018620727461417592	0.12841835081139896
2021-06-01	BB	688.0	0.01408064076922805	0.12222889190912446
2021-06-02	AMC	446.0	-0.004396736108366773	0.18668794799139932
2021-06-03	AMC	361.0	-0.0014013106988405562	0.2046736224766228
2021-06-01	AMC	313.0	0.0016842219341189739	0.20878896795430343
2021-05-28	AMC	300.0	0.018078402251683504	0.12953567340067343
2021-05-28	BB	243.0	0.03475113272644137	0.1189979839547741
2021-01-31	GME	183.0	0.03055971206601929	0.24223086182539028
2021-01-30	GME	153.0	0.009043604676671327	0.22404800562710545
2021-06-02	GME	150.0	0.031902574761754454	0.20611768278018278
2021-06-03	GME	142.0	0.016140834619747874	0.20570352787062138
2021-01-27	GME	139.0	-0.029902577937649878	0.21466186141995497
2021-05-31	BB	95.0	0.020236842105263157	0.09778947368421052
2021-06-02	CLOV	93.0	-0.0146053179221652	0.12627583438067308
2021-06-03	CLNE	90.0	0.017876157407407407	0.10305555555555555
2021-01-31	AMC	85.0	0.02563693659281895	0.1892102901766767
2021-04-19	GME	82.0	0.005624076127124907	0.12072862774082284
2021-01-27	AMC	80.0	0.01545194128787879	0.11280531881313131
2021-01-27	NOK	78.0	-0.014081196581196581	0.08827991452991453
2021-06-01	GME	70.0	0.026271645021645026	0.2205211038961039
2021-02-02	GME	70.0	0.003600864083006938	0.22717401910259052
2021-05-30	BB	69.0	0.03101959815546772	0.1115641194554238
2021-02-05	GME	68.0	-0.01629982111599759	0.2628753284176078
2021-06-03	SNDL	66.0	-0.004579449117801387	0.1335188464733919
2021-02-04	GME	63.0	-0.055540951871622286	0.2975124718060182
2021-06-03	NOK	57.0	0.01109117490696438	0.06956804891015417
2021-01-29	GME	55.0	-0.03648996820729775	0.1943837961281143
2021-01-28	GME	52.0	-0.06624503246607703	0.2426544449140603
2021-01-30	NOK	51.0	0.0039729225023342665	0.11894957983193279
2021-05-28	SNDL	50.0	-0.0015666666666666674	0.10623333333333333
2021-02-11	GME	50.0	0.021747077922077925	0.2141831168831169
2021-06-02	SNDL	49.0	0.03449788433027432	0.12175729599198987
2021-05-31	AMC	47.0	-0.0003521921341070251	0.07037153449387493
2021-02-06	GME	47.0	0.0060628703447852365	0.2185115209849252
2021-04-21	MVIS	46.0	0.007984189723320162	0.11995859213250518
2021-06-02	CLNE	46.0	-0.024655797101449276	0.1591347481021394
2021-03-02	RKT	46.0	0.028385093167701866	0.21306159420289852
2021-02-01	GME	45.0	0.04182689327133771	0.21640127465127468
2021-05-30	AMC	45.0	-0.018497427023208272	0.21204462081128747
2021-06-02	NOK	43.0	0.014260965133058157	0.11868057652941374
2021-05-31	AMD	43.0	-0.031180459075807906	0.20232949092251415
2021-05-28	GME	42.0	0.06446623387359994	0.19771860612932043
2021-02-08	GME	40.0	-0.005205938316733771	0.27737651647594824
2021-05-28	TLRY	37.0	-0.0004504504504504511	0.07477477477477477
2021-01-27	BB	37.0	-0.022381756756756757	0.1370777027027027
2021-01-26	GME	36.0	0.034772576960076955	0.13587111191277856
2021-02-26	AMC	36.0	-0.04978605499438833	0.15508557800224468
2021-05-29	BB	35.0	0.01862857142857143	0.07622857142857144
2021-06-03	CLOV	35.0	0.02076190476190476	0.12421428571428572
2021-06-03	TLRY	35.0	0.02058766233766234	0.13336796536796536
2021-06-02	TLRY	34.0	-0.006971382598967617	0.10046048722519312
2021-04-16	PLTR	34.0	-0.06740196078431372	0.2269607843137255
2021-05-27	BB	33.0	0.09058080808080811	0.20853535353535352
2021-06-03	WKHS	32.0	0.008476562499999996	0.16469618055555557
2021-02-25	GME	32.0	0.011639384920634915	0.24291170634920634
2021-01-31	SLV	31.0	0.0017204301075268893	0.21529953917050693
2021-05-27	AMC	30.0	0.015453703703703704	0.24181481481481482
2021-01-30	SLV	28.0	-0.03668106447124304	0.2508036128412404
2021-03-07	GME	28.0	-0.029359780844155834	0.30112003324056896
2021-05-13	TSLA	27.0	0.055340909090909086	0.24382154882154883
2021-02-07	GME	27.0	0.0027528191972636426	0.25072534872534874
2021-01-31	BBBY	26.0	-0.04361051795426796	0.21525663225663225
2021-03-02	GME	26.0	-0.07311698717948717	0.2976602564102564
2021-05-31	GME	25.0	-0.07660978835978836	0.27893518518518523
2021-05-29	AMC	25.0	0.03348476190476191	0.18557714285714283
2021-04-20	AAPL	24.0	0.009280303030303035	0.17121212121212123
2021-05-30	GME	24.0	0.0007083333333333363	0.22674537037037035
2021-05-23	SPCE	24.0	-0.013568948412698413	0.12069940476190476
2020-12-22	GME	23.0	-0.039328416149068304	0.2526242236024845
2021-06-02	WKHS	23.0	-0.009250533773291917	0.29617106625258804
2021-01-30	AMC	23.0	0.03500307507822793	0.19068950373298196
2021-04-21	PLTR	22.0	0.035743801652892565	0.09793388429752065
2021-05-30	BYND	21.0	-0.015476190476190468	0.3623015873015873
2021-01-31	BB	21.0	-0.001975881261595546	0.1638162234590806
2021-05-27	PLTR	21.0	-0.009523809523809525	0.011507936507936507
2021-01-26	BB	21.0	-0.019272604875283445	0.15819727891156463
2021-05-24	AMC	20.0	-0.0033626893939393957	0.19877367424242426
2021-05-30	TSLA	20.0	0.022241693722943722	0.32744761002886
2021-05-27	GME	20.0	-0.02651893939393939	0.17227020202020205
2021-06-01	ASO	19.0	-0.18896512113617378	0.40951649958228903
2021-06-03	TELL	19.0	0.002631578947368426	0.156140350877193
2021-04-19	CLOV	18.0	0.015509259259259263	0.27731481481481485
